               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081454,            0.022271,                   0,             0.52423,             0.70811,             0.62399,             0.22677,            0.031801,           0.0089741,                   0,            0.070256,           0.0033048,           0.0033048
                   1,            0.049076,            0.018533,                   0,             0.57118,             0.80541,             0.75968,             0.38376,            0.036696,           0.0051554,                   0,            0.039928,           0.0063096,           0.0063096
                   2,            0.042864,            0.015689,                   0,             0.95901,             0.95135,             0.98119,             0.58545,            0.020959,           0.0043163,                   0,           0.0092692,           0.0089843,           0.0089843
                   3,            0.039614,            0.014604,                   0,             0.98164,             0.97297,             0.99302,             0.58088,            0.020393,           0.0042023,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.034009,            0.013349,                   0,             0.98107,             0.95135,             0.98099,             0.62333,            0.017506,           0.0039917,                   0,            0.008515,            0.008515,            0.008515
                   5,             0.03382,            0.013276,                   0,             0.98665,             0.99459,             0.99053,             0.64642,            0.016569,           0.0036157,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.030745,            0.012996,                   0,             0.99234,             0.99459,             0.99495,             0.64909,            0.016232,           0.0038094,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.028045,            0.012548,                   0,              0.9996,             0.99459,               0.995,             0.66239,            0.015299,           0.0035991,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.027971,            0.012251,                   0,             0.99456,             0.98826,             0.99239,             0.68363,            0.014916,           0.0035874,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.026962,            0.012129,                   0,             0.99927,                   1,               0.995,             0.67929,            0.015242,           0.0036231,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.026327,             0.01186,                   0,             0.99386,             0.99459,             0.99268,             0.68813,            0.014582,            0.003607,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.025632,            0.011493,                   0,             0.98925,             0.99438,             0.99254,             0.67835,             0.01428,           0.0036083,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.025051,            0.011556,                   0,             0.99961,                   1,               0.995,             0.68568,            0.014278,           0.0035316,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.023786,            0.011252,                   0,             0.99945,                   1,               0.995,             0.69908,            0.013847,           0.0035305,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.023277,             0.01114,                   0,             0.99408,             0.99459,             0.99403,             0.68422,            0.013689,           0.0034766,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.022722,            0.011114,                   0,             0.99975,                   1,               0.995,             0.69521,            0.013566,           0.0034458,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.021427,            0.010678,                   0,             0.99418,             0.99459,             0.99386,             0.68713,            0.013739,           0.0035811,                   0,            0.002575,            0.002575,            0.002575
                  17,             0.02143,            0.010666,                   0,             0.99926,                   1,               0.995,             0.71083,            0.013166,           0.0033243,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.020699,            0.010661,                   0,                   1,             0.99991,               0.995,             0.70153,            0.013542,           0.0035067,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.021347,            0.010425,                   0,             0.99951,                   1,               0.995,              0.7082,             0.01332,            0.003469,                   0,             0.00109,             0.00109,             0.00109
