               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08314,            0.022008,                   0,             0.44011,             0.55237,             0.48513,             0.17209,            0.033557,           0.0093313,                   0,            0.070256,           0.0033048,           0.0033048
                   1,            0.051554,            0.019031,                   0,             0.79246,             0.85405,             0.86788,             0.35272,            0.030649,            0.005935,                   0,            0.039928,           0.0063096,           0.0063096
                   2,            0.046292,            0.016659,                   0,             0.78342,             0.82121,             0.77561,             0.36803,            0.024507,           0.0050601,                   0,           0.0092692,           0.0089843,           0.0089843
                   3,             0.04236,             0.01612,                   0,             0.88362,             0.94391,             0.91002,             0.42101,             0.02217,           0.0049377,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.037153,            0.014804,                   0,             0.92254,             0.91892,             0.93493,             0.44871,            0.021497,           0.0048166,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.035852,            0.014477,                   0,              0.9035,             0.89189,             0.92412,             0.45291,            0.022257,           0.0046453,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.032751,            0.014273,                   0,             0.89538,             0.95135,             0.96317,             0.44242,            0.021507,           0.0045802,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.030712,            0.013771,                   0,             0.93316,              0.9056,             0.96383,             0.43678,            0.019837,           0.0047912,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.030187,            0.013764,                   0,              0.9403,             0.94595,             0.95914,             0.45951,            0.019588,            0.004804,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.029344,            0.013505,                   0,             0.90818,              0.8973,             0.90334,             0.43763,            0.019826,           0.0047391,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.027918,             0.01358,                   0,             0.90293,             0.93514,             0.92801,             0.43145,            0.019517,           0.0046308,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.028214,            0.013017,                   0,             0.88518,              0.9585,             0.95274,             0.47824,            0.019034,           0.0045869,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.027799,            0.013141,                   0,             0.93932,              0.9204,             0.94391,             0.45184,            0.019661,           0.0045233,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.026756,             0.01269,                   0,             0.91553,             0.91351,             0.94074,             0.43978,            0.019334,           0.0046758,                   0,             0.00406,             0.00406,             0.00406
                  14,             0.02641,            0.012649,                   0,             0.83819,             0.92401,             0.90223,             0.46235,              0.0195,           0.0045317,                   0,            0.003565,            0.003565,            0.003565
                  15,             0.02512,            0.012629,                   0,             0.87628,             0.88056,             0.87118,             0.44345,            0.019929,           0.0044896,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.024036,            0.012164,                   0,             0.91484,              0.8973,             0.92113,             0.48064,            0.018685,           0.0045294,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.023978,             0.01214,                   0,              0.9076,             0.91351,             0.90791,             0.46751,            0.018691,           0.0045941,                   0,             0.00208,             0.00208,             0.00208
                  18,             0.02392,            0.012077,                   0,             0.91219,             0.90811,             0.93001,             0.47149,            0.018518,           0.0046054,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.023292,            0.011857,                   0,             0.91195,              0.9027,             0.91645,             0.47274,            0.018398,           0.0045889,                   0,             0.00109,             0.00109,             0.00109
